"id","title","description","link","image_link","price","sale_price","category","availability","group_id","group_leader","attributes"
"w21","Halter Neck Dress","Elegant halter-neck dress in fluid crepe. Open back with a tie closure at the nape.","http://localhost:8080/product/detail.html?id=w21","https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80","185.00","","Clothing > Women","in stock","w21","true","color=Black/size=XS/gender=Women"
"w22","Smocked Sundress","Breezy cotton sundress with all-over smocking at the bodice. Adjustable spaghetti straps.","http://localhost:8080/product/detail.html?id=w22","https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80","95.00","","Clothing > Women","in stock","w22","true","color=White/size=S/gender=Women"
"w23","Ruched Bodycon Dress","Mesh-lined ruched dress with a flattering gathered front. Long sleeves and midi length.","http://localhost:8080/product/detail.html?id=w23","https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80","155.00","","Clothing > Women","in stock","w23","true","color=Navy/size=M/gender=Women"
"w24","A-Line Wool Dress","Timeless A-line dress in Italian virgin wool. Darted bust and a concealed back zip.","http://localhost:8080/product/detail.html?id=w24","https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80","210.00","","Clothing > Women","in stock","w24","true","color=Beige/size=L/gender=Women"
"w25","Tulle Midi Dress","Layered tulle midi skirt with a fitted jersey bodice. An ethereal piece for special moments.","http://localhost:8080/product/detail.html?id=w25","https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80","245.00","","Clothing > Women","in stock","w25","true","color=Brown/size=XL/gender=Women"
"w26","Lace Cocktail Dress","French lace cocktail dress with scalloped edges. Nude lining creates an illusion effect.","http://localhost:8080/product/detail.html?id=w26","https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80","275.00","","Clothing > Women","in stock","w26","true","color=Grey/size=XS/gender=Women"
"w27","Cutout Midi Dress","Modern midi dress with strategic cutout details at the waist. Architectural and feminine.","http://localhost:8080/product/detail.html?id=w27","https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80","185.00","","Clothing > Women","in stock","w27","true","color=Camel/size=S/gender=Women"
"w28","Puff Sleeve Dress","Cotton dress with dramatic puff sleeves. Square neckline and a fitted bodice with full skirt.","http://localhost:8080/product/detail.html?id=w28","https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80","155.00","","Clothing > Women","in stock","w28","true","color=Ivory/size=M/gender=Women"
"w29","Crochet Beach Dress","Hand-crocheted cotton dress for resort days. Open-weave pattern with a relaxed silhouette.","http://localhost:8080/product/detail.html?id=w29","https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80","125.00","","Clothing > Women","in stock","w29","true","color=Red/size=L/gender=Women"
"w30","Column Dress","Minimalist column dress in heavyweight jersey. Clean lines from shoulder to ankle.","http://localhost:8080/product/detail.html?id=w30","https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80","195.00","","Clothing > Women","in stock","w30","true","color=Green/size=XL/gender=Women"
"w31","Corset Dress","Structured corset-bodice dress with boning detail. Attached full skirt in cotton sateen.","http://localhost:8080/product/detail.html?id=w31","https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80","215.00","","Clothing > Women","in stock","w31","true","color=Black/size=XS/gender=Women"
"w32","Bandage Dress","Figure-sculpting bandage dress with strategically placed panels. Concealed back zipper.","http://localhost:8080/product/detail.html?id=w32","https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80","175.00","","Clothing > Women","in stock","w32","true","color=White/size=S/gender=Women"
"w33","Kaftan Dress","Flowing silk-blend kaftan with metallic embroidery. One size, endlessly versatile.","http://localhost:8080/product/detail.html?id=w33","https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80","145.00","","Clothing > Women","in stock","w33","true","color=Navy/size=M/gender=Women"
"w34","Tuxedo Dress","Sharp tuxedo-inspired dress with satin lapels. Peak lapel, single-button closure.","http://localhost:8080/product/detail.html?id=w34","https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80","255.00","","Clothing > Women","in stock","w34","true","color=Beige/size=L/gender=Women"
"w35","Asymmetric Hem Dress","Modern dress with a dramatic asymmetric hemline. One-shoulder design in ponte jersey.","http://localhost:8080/product/detail.html?id=w35","https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80","175.00","","Clothing > Women","in stock","w35","true","color=Brown/size=XL/gender=Women"
"w36","Poplin Bubble Dress","Architectural bubble-hem dress in crisp cotton poplin. Playful volume with clean lines.","http://localhost:8080/product/detail.html?id=w36","https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80","135.00","","Clothing > Women","in stock","w36","true","color=Grey/size=XS/gender=Women"
"w37","Leather Mini Dress","Butter-soft lambskin leather mini dress. A-line cut with a concealed back zip.","http://localhost:8080/product/detail.html?id=w37","https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80","345.00","","Clothing > Women","in stock","w37","true","color=Camel/size=S/gender=Women"
"w38","Striped Midi Dress","Breton-striped midi in organic cotton jersey. Boat neck with three-quarter sleeves.","http://localhost:8080/product/detail.html?id=w38","https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80","145.00","","Clothing > Women","in stock","w38","true","color=Ivory/size=M/gender=Women"
"w39","Shirt Midi Dress","Polished shirt dress in stretch cotton. Perfect for the office with sneakers or heels.","http://localhost:8080/product/detail.html?id=w39","https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80","155.00","","Clothing > Women","in stock","w39","true","color=Red/size=L/gender=Women"
"w40","Plissé Maxi Dress","Micro-plissé maxi dress in recycled polyester. Shimmering metallic finish for evening.","http://localhost:8080/product/detail.html?id=w40","https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80","225.00","","Clothing > Women","in stock","w40","true","color=Green/size=XL/gender=Women"
"w41","Silk Wrap Blouse","Feminine wrap blouse in silk georgette. Self-tie waist detail and fluted sleeves.","http://localhost:8080/product/detail.html?id=w41","https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80","98.00","","Clothing > Women","in stock","w41","true","color=Black/size=XS/gender=Women"
"w42","Cashmere Turtleneck","Grade-A Mongolian cashmere turtleneck. Ribbed cuffs, hem, and collar.","http://localhost:8080/product/detail.html?id=w42","https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80","220.00","","Clothing > Women","in stock","w42","true","color=White/size=S/gender=Women"
"w43","Linen Camp Shirt","Relaxed camp-collar shirt in washed linen. Chest pocket and a boxy fit.","http://localhost:8080/product/detail.html?id=w43","https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80","85.00","","Clothing > Women","in stock","w43","true","color=Navy/size=M/gender=Women"
"w44","Silk Camisole","Delicate silk charmeuse camisole with lace trim. Adjustable straps for the perfect fit.","http://localhost:8080/product/detail.html?id=w44","https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80","75.00","","Clothing > Women","in stock","w44","true","color=Beige/size=L/gender=Women"
"w45","Oversized Cotton Shirt","Crisp oversized cotton shirt with French seams. A layering essential in pure white.","http://localhost:8080/product/detail.html?id=w45","https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80","95.00","","Clothing > Women","in stock","w45","true","color=Brown/size=XL/gender=Women"
"w46","Pussy-Bow Blouse","Elegant pussy-bow blouse in printed silk twill. A statement piece that elevates any look.","http://localhost:8080/product/detail.html?id=w46","https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80","125.00","","Clothing > Women","in stock","w46","true","color=Grey/size=XS/gender=Women"
"w47","Cropped Knit Top","Fitted cropped knit in soft cotton-cashmere blend. Ribbed trim at the neckline.","http://localhost:8080/product/detail.html?id=w47","https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80","85.00","","Clothing > Women","in stock","w47","true","color=Camel/size=S/gender=Women"
"w48","Draped Jersey Top","Fluid jersey top with an artful cowl neckline. Easy elegance for everyday.","http://localhost:8080/product/detail.html?id=w48","https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80","65.00","","Clothing > Women","in stock","w48","true","color=Ivory/size=M/gender=Women"
"w49","Peplum Top","Structured peplum top in stretch crepe. Nips in at the waist with a flared hem.","http://localhost:8080/product/detail.html?id=w49","https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80","95.00","","Clothing > Women","in stock","w49","true","color=Red/size=L/gender=Women"
"w50","Lace Trim Camisole","Satin camisole with French Chantilly lace at the neckline. Layer or wear alone.","http://localhost:8080/product/detail.html?id=w50","https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80","85.00","","Clothing > Women","in stock","w50","true","color=Green/size=XL/gender=Women"
"w51","Breton Stripe Top","Classic Breton stripe in organic cotton. Boat neck with long sleeves.","http://localhost:8080/product/detail.html?id=w51","https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80","55.00","","Clothing > Women","in stock","w51","true","color=Black/size=XS/gender=Women"
"w52","One-Shoulder Top","Asymmetric one-shoulder top in ribbed jersey. A modern staple with a sculptural feel.","http://localhost:8080/product/detail.html?id=w52","https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80","75.00","","Clothing > Women","in stock","w52","true","color=White/size=S/gender=Women"
"w53","Organza Blouse","Sheer organza blouse with tonal embroidery. Balloon sleeves and a stand collar.","http://localhost:8080/product/detail.html?id=w53","https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80","115.00","","Clothing > Women","in stock","w53","true","color=Navy/size=M/gender=Women"
"w54","Fitted Rib Tank","Essential ribbed tank in organic cotton. Fitted silhouette with a scoop neck.","http://localhost:8080/product/detail.html?id=w54","https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80","45.00","","Clothing > Women","in stock","w54","true","color=Beige/size=L/gender=Women"
"w55","Ruffle Front Blouse","Romantic ruffle-front blouse in lightweight cotton voile. Feminine and effortless.","http://localhost:8080/product/detail.html?id=w55","https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80","105.00","","Clothing > Women","in stock","w55","true","color=Brown/size=XL/gender=Women"
"w56","Silk Shirt","Classic silk crepe de chine shirt. French cuffs and mother-of-pearl buttons.","http://localhost:8080/product/detail.html?id=w56","https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80","135.00","","Clothing > Women","in stock","w56","true","color=Grey/size=XS/gender=Women"
"w57","Bardot Top","Off-shoulder bardot top in stretch jersey. Elasticated neckline sits perfectly.","http://localhost:8080/product/detail.html?id=w57","https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80","65.00","","Clothing > Women","in stock","w57","true","color=Camel/size=S/gender=Women"
"w58","Printed Blouse","Vibrant printed blouse in sustainable viscose. Relaxed fit with covered buttons.","http://localhost:8080/product/detail.html?id=w58","https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80","95.00","","Clothing > Women","in stock","w58","true","color=Ivory/size=M/gender=Women"
"w59","Cashmere V-Neck","Fine-gauge cashmere V-neck in a relaxed fit. The everyday luxury essential.","http://localhost:8080/product/detail.html?id=w59","https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80","195.00","","Clothing > Women","in stock","w59","true","color=Red/size=L/gender=Women"
"w60","Cotton Poplin Blouse","Crisp poplin blouse with a Peter Pan collar. Back button closure and puff sleeves.","http://localhost:8080/product/detail.html?id=w60","https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80","85.00","","Clothing > Women","in stock","w60","true","color=Green/size=XL/gender=Women"
"w61","Mesh Long Sleeve Top","Sheer mesh top for layering. Fitted with a crew neck and thumb holes.","http://localhost:8080/product/detail.html?id=w61","https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80","55.00","","Clothing > Women","in stock","w61","true","color=Black/size=XS/gender=Women"
"w62","Tie-Front Crop Top","Playful tie-front crop top in cotton jersey. Adjustable for your preferred fit.","http://localhost:8080/product/detail.html?id=w62","https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80","65.00","","Clothing > Women","in stock","w62","true","color=White/size=S/gender=Women"
"w63","Turtleneck Bodysuit","Sleek turtleneck bodysuit in stretch modal. Snap closure for a seamless tuck.","http://localhost:8080/product/detail.html?id=w63","https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80","75.00","","Clothing > Women","in stock","w63","true","color=Navy/size=M/gender=Women"
"w64","Embellished Blouse","Evening blouse with crystal embellishments. Sheer georgette with a camisole lining.","http://localhost:8080/product/detail.html?id=w64","https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80","155.00","","Clothing > Women","in stock","w64","true","color=Beige/size=L/gender=Women"
"w65","Denim Western Shirt","Snap-front western shirt in soft-washed denim. Pearl snap buttons and pointed yoke.","http://localhost:8080/product/detail.html?id=w65","https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80","95.00","","Clothing > Women","in stock","w65","true","color=Brown/size=XL/gender=Women"
"w66","Ribbed Tank Top","Essential ribbed tank in organic cotton. Scoop neck with a slim fit.","http://localhost:8080/product/detail.html?id=w66","https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80","45.00","","Clothing > Women","in stock","w66","true","color=Grey/size=XS/gender=Women"
"w67","Shoulder-Pad Top","Structured T-shirt with padded shoulders. A power silhouette in cotton jersey.","http://localhost:8080/product/detail.html?id=w67","https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80","75.00","","Clothing > Women","in stock","w67","true","color=Camel/size=S/gender=Women"
"w68","Balloon-Sleeve Blouse","Voluminous balloon sleeves in cotton voile. Button-front with a cropped length.","http://localhost:8080/product/detail.html?id=w68","https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80","105.00","","Clothing > Women","in stock","w68","true","color=Ivory/size=M/gender=Women"
"w69","Asymmetric Top","One-side draped top in stretch jersey. Architectural cut for visual interest.","http://localhost:8080/product/detail.html?id=w69","https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80","85.00","","Clothing > Women","in stock","w69","true","color=Red/size=L/gender=Women"
"w70","Henley Top","Waffle-knit Henley in cotton. Three-button placket with a relaxed fit.","http://localhost:8080/product/detail.html?id=w70","https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80","55.00","","Clothing > Women","in stock","w70","true","color=Green/size=XL/gender=Women"
"w71","Sequin Top","All-over sequin top with a boat neckline. Party-ready in seconds.","http://localhost:8080/product/detail.html?id=w71","https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80","145.00","","Clothing > Women","in stock","w71","true","color=Black/size=XS/gender=Women"
"w72","Chambray Shirt","Soft chambray shirt with a relaxed fit. Roll-tab sleeves and chest pocket.","http://localhost:8080/product/detail.html?id=w72","https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80","85.00","","Clothing > Women","in stock","w72","true","color=White/size=S/gender=Women"
"w73","Corset Top","Structured corset top in stretch cotton. Boning detail with a sweetheart neckline.","http://localhost:8080/product/detail.html?id=w73","https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80","115.00","","Clothing > Women","in stock","w73","true","color=Navy/size=M/gender=Women"
"w74","Satin Blouse","Liquid satin blouse with a pussy-bow tie. Lustrous finish for evening.","http://localhost:8080/product/detail.html?id=w74","https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80","105.00","","Clothing > Women","in stock","w74","true","color=Beige/size=L/gender=Women"
"w75","Graphic Tee","Organic cotton tee with original artwork. Relaxed fit with a vintage wash.","http://localhost:8080/product/detail.html?id=w75","https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80","45.00","","Clothing > Women","in stock","w75","true","color=Brown/size=XL/gender=Women"
"w76","Wide-Leg Trousers","High-waisted wide-leg trousers in Italian crepe. A wardrobe essential.","http://localhost:8080/product/detail.html?id=w76","https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80","165.00","","Clothing > Women","in stock","w76","true","color=Grey/size=XS/gender=Women"
"w77","Pleated Midi Skirt","Fluid pleated midi skirt in satin-back crepe. Elasticated waistband for comfort.","http://localhost:8080/product/detail.html?id=w77","https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80","145.00","","Clothing > Women","in stock","w77","true","color=Camel/size=S/gender=Women"
"w78","Tailored Wool Trousers","Slim-fit tailored trousers in Super 100s wool. Pressed crease and side zip.","http://localhost:8080/product/detail.html?id=w78","https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80","195.00","","Clothing > Women","in stock","w78","true","color=Ivory/size=M/gender=Women"
"w79","Leather Trousers","Straight-leg trousers in butter-soft lambskin. A modern wardrobe investment.","http://localhost:8080/product/detail.html?id=w79","https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80","295.00","","Clothing > Women","in stock","w79","true","color=Red/size=L/gender=Women"
"w80","Satin Midi Skirt","Bias-cut satin midi skirt that drapes beautifully. Elasticated waist in the back.","http://localhost:8080/product/detail.html?id=w80","https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80","125.00","","Clothing > Women","in stock","w80","true","color=Green/size=XL/gender=Women"
"w81","High-Waist Jeans","Classic straight-leg jeans in Japanese selvedge denim. High waist with a button fly.","http://localhost:8080/product/detail.html?id=w81","https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80","135.00","","Clothing > Women","in stock","w81","true","color=Black/size=XS/gender=Women"
"w82","Palazzo Pants","Ultra-wide palazzo pants in fluid viscose. Elasticated waist with a dramatic silhouette.","http://localhost:8080/product/detail.html?id=w82","https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80","155.00","","Clothing > Women","in stock","w82","true","color=White/size=S/gender=Women"
"w83","Pencil Skirt","Tailored pencil skirt in stretch wool. Back vent and a concealed zip closure.","http://localhost:8080/product/detail.html?id=w83","https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80","115.00","","Clothing > Women","in stock","w83","true","color=Navy/size=M/gender=Women"
"w84","Cargo Trousers","Relaxed cargo trousers in washed cotton twill. Multiple pockets with a tapered leg.","http://localhost:8080/product/detail.html?id=w84","https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80","125.00","","Clothing > Women","in stock","w84","true","color=Beige/size=L/gender=Women"
"w85","Wrap Skirt","Linen-blend wrap skirt with an asymmetric hem. Tie waist for an adjustable fit.","http://localhost:8080/product/detail.html?id=w85","https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80","105.00","","Clothing > Women","in stock","w85","true","color=Brown/size=XL/gender=Women"
"w86","Culottes","Cropped wide-leg culottes in Japanese cotton. Pressed front creases for polish.","http://localhost:8080/product/detail.html?id=w86","https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80","115.00","","Clothing > Women","in stock","w86","true","color=Grey/size=XS/gender=Women"
"w87","Flared Jeans","High-rise flared jeans in dark indigo wash. Vintage-inspired with a modern stretch.","http://localhost:8080/product/detail.html?id=w87","https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80","145.00","","Clothing > Women","in stock","w87","true","color=Camel/size=S/gender=Women"
"w88","Leather Mini Skirt","A-line mini skirt in smooth calfskin leather. Concealed back zip with full lining.","http://localhost:8080/product/detail.html?id=w88","https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80","195.00","","Clothing > Women","in stock","w88","true","color=Ivory/size=M/gender=Women"
"w89","Linen Trousers","Relaxed-fit trousers in stonewashed European linen. Drawstring waist and side pockets.","http://localhost:8080/product/detail.html?id=w89","https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80","125.00","","Clothing > Women","in stock","w89","true","color=Red/size=L/gender=Women"
